num	glyph	GE-source	description
438	埀	GE-345E	GB/T 16500—1998，20—62
439	埈	GE-345F	GB/T 16500—1998，20—63
440	埓	GE-3460	GB/T 16500—1998，20—64
441	埖	GE-3461	GB/T 16500—1998，20—65
442	埛	GE-3462	GB/T 16500—1998，20—66
443	埜	GE-3463	GB/T 16500—1998，20—67
444	埳	GE-3464	GB/T 16500—1998，20—68
445	堏	GE-3465	GB/T 16500—1998，20—69
446	堐	GE-3466	GB/T 16500—1998，20—70
447	堒	GE-3467	GB/T 16500—1998，20—71
448	堓	GE-3468	GB/T 16500—1998，20—72
449	堔	GE-3469	GB/T 16500—1998，20—73
450	堘	GE-346A	GB/T 16500—1998，20—74
451	堜	GE-346B	GB/T 16500—1998，20—75
452	堦	GE-346C	GB/T 16500—1998，20—76
453	堩	GE-346D	GB/T 16500—1998，20—77
454	堷	GE-346E	GB/T 16500—1998，20—78
455	堻	GE-346F	GB/T 16500—1998，20—79
456	堿	GE-3470	GB/T 16500—1998，20—80
457	塀	GE-3471	GB/T 16500—1998，20—81
458	塁	GE-3472	GB/T 16500—1998，20—82
459	塇	GE-3473	GB/T 16500—1998，20—83
460	塛	GE-3474	GB/T 16500—1998，20—84
461	塟	GE-3475	GB/T 16500—1998，20—85
462	塡	GE-3476	GB/T 16500—1998，20—86
463	塣	GE-3477	GB/T 16500—1998，20—87
464	塦	GE-3478	GB/T 16500—1998，20—88
465	塩	GE-3479	GB/T 16500—1998，20—89
466	塪	GE-347A	GB/T 16500—1998，20—90
467	塭	GE-347B	GB/T 16500—1998，20—91
468	塯	GE-347C	GB/T 16500—1998，20—92
469	塰	GE-347D	GB/T 16500—1998，20—93
470	塲	GE-347E	GB/T 16500—1998，20—94
471	塶	GE-3521	GB/T 16500—1998，21—01
472	塼	GE-3522	GB/T 16500—1998，21—02
473	墍	GE-3523	GB/T 16500—1998，21—03
474	墖	GE-3524	GB/T 16500—1998，21—04
475	増	GE-3525	GB/T 16500—1998，21—05
476	墛	GE-3526	GB/T 16500—1998，21—06
477	墤	GE-3527	GB/T 16500—1998，21—07
478	墧	GE-3528	GB/T 16500—1998，21—08
479	墪	GE-3529	GB/T 16500—1998，21—09
480	墵	GE-352A	GB/T 16500—1998，21—10
481	墸	GE-352B	GB/T 16500—1998，21—11
482	墹	GE-352C	GB/T 16500—1998，21—12
483	壀	GE-352D	GB/T 16500—1998，21—13
484	壃	GE-352E	GB/T 16500—1998，21—14
485	壄	GE-352F	GB/T 16500—1998，21—15
486	壈	GE-3530	GB/T 16500—1998，21—16
487	壉	GE-3531	GB/T 16500—1998，21—17
488	壊	GE-3532	GB/T 16500—1998，21—18
489	壌	GE-3533	GB/T 16500—1998，21—19
490	壎	GE-3534	GB/T 16500—1998，21—20
491	壗	GE-3535	GB/T 16500—1998，21—21
492	壜	GE-3536	GB/T 16500—1998，21—22
493	壡	GE-3537	GB/T 16500—1998，21—23
494	壣	GE-3538	GB/T 16500—1998，21—24
495	壥	GE-3539	GB/T 16500—1998，21—25
496	壦	GE-353A	GB/T 16500—1998，21—26
497	壨	GE-353B	GB/T 16500—1998，21—27
498	壱	GE-353C	GB/T 16500—1998，21—28
499	売	GE-353D	GB/T 16500—1998，21—29
500	壵	GE-353E	GB/T 16500—1998，21—30
501	壷	GE-353F	GB/T 16500—1998，21—31
502	壻	GE-3540	GB/T 16500—1998，21—32
503	壿	GE-3541	GB/T 16500—1998，21—33
504	夀	GE-3542	GB/T 16500—1998，21—34
505	夁	GE-3543	GB/T 16500—1998，21—35
506	夈	GE-3544	GB/T 16500—1998，21—36
507	変	GE-3545	GB/T 16500—1998，21—37
508	夑	GE-3546	GB/T 16500—1998，21—38
509	夓	GE-3547	GB/T 16500—1998，21—39
510	夘	GE-3548	GB/T 16500—1998，21—40
511	夛	GE-3549	GB/T 16500—1998，21—41
512	夠	GE-354A	GB/T 16500—1998，21—42
513	夣	GE-354B	GB/T 16500—1998，21—43
514	夦	GE-354C	GB/T 16500—1998，21—44
515	夳	GE-354D	GB/T 16500—1998，21—45
516	夶	GE-354E	GB/T 16500—1998，21—46
517	奌	GE-354F	GB/T 16500—1998，21—47
518	奍	GE-3550	GB/T 16500—1998，21—48
519	奙	GE-3551	GB/T 16500—1998，21—49
520	奛	GE-3552	GB/T 16500—1998，21—50
521	奧	GE-3553	GB/T 16500—1998，21—51
522	奨	GE-3554	GB/T 16500—1998，21—52
523	奱	GE-3555	GB/T 16500—1998，21—53
524	奷	GE-3556	GB/T 16500—1998，21—54
525	奿	GE-3557	GB/T 16500—1998，21—55
526	妀	GE-3558	GB/T 16500—1998，21—56
527	妕	GE-3559	GB/T 16500—1998，21—57
528	妛	GE-355A	GB/T 16500—1998，21—58
529	妬	GE-355B	GB/T 16500—1998，21—59
530	妱	GE-355C	GB/T 16500—1998，21—60
531	妷	GE-355D	GB/T 16500—1998，21—61
532	妽	GE-355E	GB/T 16500—1998，21—62
