num	glyph	pseudo G7-source	description
224	艰	G7-10111.1	简化字总表，第1表第111个字头第1个字样
225	艱	G7-10111.2	简化字总表，第1表第111个字头第2个字样
226	歼	G7-10112.1	简化字总表，第1表第112个字头第1个字样
227	殲	G7-10112.2	简化字总表，第1表第112个字头第2个字样
228	茧	G7-10113.1	简化字总表，第1表第113个字头第1个字样
229	繭	G7-10113.2	简化字总表，第1表第113个字头第2个字样
230	拣	G7-10114.1	简化字总表，第1表第114个字头第1个字样
231	揀	G7-10114.2	简化字总表，第1表第114个字头第2个字样
232	硷	G7-10115.1	简化字总表，第1表第115个字头第1个字样
233	鹼	G7-10115.2	简化字总表，第1表第115个字头第2个字样
234	舰	G7-10116.1	简化字总表，第1表第116个字头第1个字样
235	艦	G7-10116.2	简化字总表，第1表第116个字头第2个字样
236	姜	G7-10117.1	简化字总表，第1表第117个字头第1个字样
237	薑	G7-10117.2	简化字总表，第1表第117个字头第2个字样
238	浆	G7-10118.1	简化字总表，第1表第118个字头第1个字样
239	漿	G7-10118.2	简化字总表，第1表第118个字头第2个字样
240	桨	G7-10119.1	简化字总表，第1表第119个字头第1个字样
241	槳	G7-10119.2	简化字总表，第1表第119个字头第2个字样
242	奖	G7-10120.1	简化字总表，第1表第120个字头第1个字样
243	奬	G7-10120.2	简化字总表，第1表第120个字头第2个字样
244	讲	G7-10121.1	简化字总表，第1表第121个字头第1个字样
245	講	G7-10121.2	简化字总表，第1表第121个字头第2个字样
246	酱	G7-10122.1	简化字总表，第1表第122个字头第1个字样
247	醬	G7-10122.2	简化字总表，第1表第122个字头第2个字样
248	胶	G7-10123.1	简化字总表，第1表第123个字头第1个字样
249	膠	G7-10123.2	简化字总表，第1表第123个字头第2个字样
250	阶	G7-10124.1	简化字总表，第1表第124个字头第1个字样
251	階	G7-10124.2	简化字总表，第1表第124个字头第2个字样
252	疖	G7-10125.1	简化字总表，第1表第125个字头第1个字样
253	癤	G7-10125.2	简化字总表，第1表第125个字头第2个字样
254	洁	G7-10126.1	简化字总表，第1表第126个字头第1个字样
255	潔	G7-10126.2	简化字总表，第1表第126个字头第2个字样
256	借	G7-10127.1	简化字总表，第1表第127个字头第1个字样
257	藉	G7-10127.2	简化字总表，第1表第127个字头第2个字样
258	仅	G7-10128.1	简化字总表，第1表第128个字头第1个字样
259	僅	G7-10128.2	简化字总表，第1表第128个字头第2个字样
260	惊	G7-10129.1	简化字总表，第1表第129个字头第1个字样
261	驚	G7-10129.2	简化字总表，第1表第129个字头第2个字样
262	竞	G7-10130.1	简化字总表，第1表第130个字头第1个字样
263	競	G7-10130.2	简化字总表，第1表第130个字头第2个字样
264	旧	G7-10131.1	简化字总表，第1表第131个字头第1个字样
265	舊	G7-10131.2	简化字总表，第1表第131个字头第2个字样
266	剧	G7-10132.1	简化字总表，第1表第132个字头第1个字样
267	劇	G7-10132.2	简化字总表，第1表第132个字头第2个字样
268	据	G7-10133.1	简化字总表，第1表第133个字头第1个字样
269	據	G7-10133.2	简化字总表，第1表第133个字头第2个字样
270	惧	G7-10134.1	简化字总表，第1表第134个字头第1个字样
271	懼	G7-10134.2	简化字总表，第1表第134个字头第2个字样
272	卷	G7-10135.1	简化字总表，第1表第135个字头第1个字样
273	捲	G7-10135.2	简化字总表，第1表第135个字头第2个字样
274	开	G7-10136.1	简化字总表，第1表第136个字头第1个字样
275	開	G7-10136.2	简化字总表，第1表第136个字头第2个字样
276	克	G7-10137.1	简化字总表，第1表第137个字头第1个字样
277	剋	G7-10137.2	简化字总表，第1表第137个字头第2个字样
278	垦	G7-10138.1	简化字总表，第1表第138个字头第1个字样
279	墾	G7-10138.2	简化字总表，第1表第138个字头第2个字样
280	恳	G7-10139.1	简化字总表，第1表第139个字头第1个字样
281	懇	G7-10139.2	简化字总表，第1表第139个字头第2个字样
282	夸	G7-10140.1	简化字总表，第1表第140个字头第1个字样
283	誇	G7-10140.2	简化字总表，第1表第140个字头第2个字样
284	块	G7-10141.1	简化字总表，第1表第141个字头第1个字样
285	塊	G7-10141.2	简化字总表，第1表第141个字头第2个字样
286	亏	G7-10142.1	简化字总表，第1表第142个字头第1个字样
287	虧	G7-10142.2	简化字总表，第1表第142个字头第2个字样
288	困	G7-10143.1	简化字总表，第1表第143个字头第1个字样
289	睏	G7-10143.2	简化字总表，第1表第143个字头第2个字样
290	腊	G7-10144.1	简化字总表，第1表第144个字头第1个字样
291	臘	G7-10144.2	简化字总表，第1表第144个字头第2个字样
292	蜡	G7-10145.1	简化字总表，第1表第145个字头第1个字样
293	蠟	G7-10145.2	简化字总表，第1表第145个字头第2个字样
294	兰	G7-10146.1	简化字总表，第1表第146个字头第1个字样
295	蘭	G7-10146.2	简化字总表，第1表第146个字头第2个字样
296	拦	G7-10147.1	简化字总表，第1表第147个字头第1个字样
297	攔	G7-10147.2	简化字总表，第1表第147个字头第2个字样
298	栏	G7-10148.1	简化字总表，第1表第148个字头第1个字样
299	欄	G7-10148.2	简化字总表，第1表第148个字头第2个字样
300	烂	G7-10149.1	简化字总表，第1表第149个字头第1个字样
301	爛	G7-10149.2	简化字总表，第1表第149个字头第2个字样
302	累	G7-10150.1	简化字总表，第1表第150个字头第1个字样
303	纍	G7-10150.2	简化字总表，第1表第150个字头第2个字样
304	垒	G7-10151.1	简化字总表，第1表第151个字头第1个字样
305	壘	G7-10151.2	简化字总表，第1表第151个字头第2个字样
306	类	G7-10152.1	简化字总表，第1表第152个字头第1个字样
307	類	G7-10152.2	简化字总表，第1表第152个字头第2个字样
308	里	G7-10153.1	简化字总表，第1表第153个字头第1个字样
309	裏	G7-10153.2	简化字总表，第1表第153个字头第2个字样
310	礼	G7-10154.1	简化字总表，第1表第154个字头第1个字样
311	禮	G7-10154.2	简化字总表，第1表第154个字头第2个字样
312	隶	G7-10155.1	简化字总表，第1表第155个字头第1个字样
313	隸	G7-10155.2	简化字总表，第1表第155个字头第2个字样
314	帘	G7-10156.1	简化字总表，第1表第156个字头第1个字样
315	簾	G7-10156.2	简化字总表，第1表第156个字头第2个字样
316	联	G7-10157.1	简化字总表，第1表第157个字头第1个字样
317	聯	G7-10157.2	简化字总表，第1表第157个字头第2个字样
318	怜	G7-10158.1	简化字总表，第1表第158个字头第1个字样
319	憐	G7-10158.2	简化字总表，第1表第158个字头第2个字样
320	炼	G7-10159.1	简化字总表，第1表第159个字头第1个字样
321	煉	G7-10159.2	简化字总表，第1表第159个字头第2个字样
322	练	G7-10160.1	简化字总表，第1表第160个字头第1个字样
323	練	G7-10160.2	简化字总表，第1表第160个字头第2个字样
324	粮	G7-10161.1	简化字总表，第1表第161个字头第1个字样
325	糧	G7-10161.2	简化字总表，第1表第161个字头第2个字样
326	疗	G7-10162.1	简化字总表，第1表第162个字头第1个字样
327	療	G7-10162.2	简化字总表，第1表第162个字头第2个字样
328	辽	G7-10163.1	简化字总表，第1表第163个字头第1个字样
329	遼	G7-10163.2	简化字总表，第1表第163个字头第2个字样
330	了	G7-10164.1	简化字总表，第1表第164个字头第1个字样
331	瞭	G7-10164.2	简化字总表，第1表第164个字头第2个字样
332	猎	G7-10165.1	简化字总表，第1表第165个字头第1个字样
333	獵	G7-10165.2	简化字总表，第1表第165个字头第2个字样
334	临	G7-10166.1	简化字总表，第1表第166个字头第1个字样
335	臨	G7-10166.2	简化字总表，第1表第166个字头第2个字样
336	邻	G7-10167.1	简化字总表，第1表第167个字头第1个字样
337	鄰	G7-10167.2	简化字总表，第1表第167个字头第2个字样
338	岭	G7-10168.1	简化字总表，第1表第168个字头第1个字样
339	嶺	G7-10168.2	简化字总表，第1表第168个字头第2个字样
340	庐	G7-10169.1	简化字总表，第1表第169个字头第1个字样
341	廬	G7-10169.2	简化字总表，第1表第169个字头第2个字样
342	芦	G7-10170.1	简化字总表，第1表第170个字头第1个字样
343	蘆	G7-10170.2	简化字总表，第1表第170个字头第2个字样
344	炉	G7-10171.1	简化字总表，第1表第171个字头第1个字样
345	爐	G7-10171.2	简化字总表，第1表第171个字头第2个字样
346	陆	G7-10172.1	简化字总表，第1表第172个字头第1个字样
347	陸	G7-10172.2	简化字总表，第1表第172个字头第2个字样
348	驴	G7-10173.1	简化字总表，第1表第173个字头第1个字样
349	驢	G7-10173.2	简化字总表，第1表第173个字头第2个字样
350	乱	G7-10174.1	简化字总表，第1表第174个字头第1个字样
351	亂	G7-10174.2	简化字总表，第1表第174个字头第2个字样
352	么	G7-10175.1	简化字总表，第1表第175个字头第1个字样
353	麽	G7-10175.2	简化字总表，第1表第175个字头第2个字样
354	霉	G7-10176.1	简化字总表，第1表第176个字头第1个字样
355	黴	G7-10176.2	简化字总表，第1表第176个字头第2个字样
356	蒙	G7-10177.1	简化字总表，第1表第177个字头第1个字样
357	矇	G7-10177.2	简化字总表，第1表第177个字头第2个字样
358	濛	G7-10177.3	简化字总表，第1表第177个字头第3个字样
359	懞	G7-10177.4	简化字总表，第1表第177个字头第4个字样
360	梦	G7-10178.1	简化字总表，第1表第178个字头第1个字样
361	夢	G7-10178.2	简化字总表，第1表第178个字头第2个字样
362	面	G7-10179.1	简化字总表，第1表第179个字头第1个字样
363	麵	G7-10179.2	简化字总表，第1表第179个字头第2个字样
364	庙	G7-10180.1	简化字总表，第1表第180个字头第1个字样
365	廟	G7-10180.2	简化字总表，第1表第180个字头第2个字样
366	灭	G7-10181.1	简化字总表，第1表第181个字头第1个字样
367	滅	G7-10181.2	简化字总表，第1表第181个字头第2个字样
368	蔑	G7-10182.1	简化字总表，第1表第182个字头第1个字样
369	衊	G7-10182.2	简化字总表，第1表第182个字头第2个字样
370	亩	G7-10183.1	简化字总表，第1表第183个字头第1个字样
371	畝	G7-10183.2	简化字总表，第1表第183个字头第2个字样
372	恼	G7-10184.1	简化字总表，第1表第184个字头第1个字样
373	惱	G7-10184.2	简化字总表，第1表第184个字头第2个字样
374	脑	G7-10185.1	简化字总表，第1表第185个字头第1个字样
375	腦	G7-10185.2	简化字总表，第1表第185个字头第2个字样
376	拟	G7-10186.1	简化字总表，第1表第186个字头第1个字样
377	擬	G7-10186.2	简化字总表，第1表第186个字头第2个字样
378	酿	G7-10187.1	简化字总表，第1表第187个字头第1个字样
379	釀	G7-10187.2	简化字总表，第1表第187个字头第2个字样
380	疟	G7-10188.1	简化字总表，第1表第188个字头第1个字样
381	瘧	G7-10188.2	简化字总表，第1表第188个字头第2个字样
382	盘	G7-10189.1	简化字总表，第1表第189个字头第1个字样
383	盤	G7-10189.2	简化字总表，第1表第189个字头第2个字样
384	辟	G7-10190.1	简化字总表，第1表第190个字头第1个字样
385	闢	G7-10190.2	简化字总表，第1表第190个字头第2个字样
386	苹	G7-10191.1	简化字总表，第1表第191个字头第1个字样
387	蘋	G7-10191.2	简化字总表，第1表第191个字头第2个字样
388	凭	G7-10192.1	简化字总表，第1表第192个字头第1个字样
389	憑	G7-10192.2	简化字总表，第1表第192个字头第2个字样
390	扑	G7-10193.1	简化字总表，第1表第193个字头第1个字样
391	撲	G7-10193.2	简化字总表，第1表第193个字头第2个字样
392	仆	G7-10194.1	简化字总表，第1表第194个字头第1个字样
393	僕	G7-10194.2	简化字总表，第1表第194个字头第2个字样
394	朴	G7-10195.1	简化字总表，第1表第195个字头第1个字样
395	樸	G7-10195.2	简化字总表，第1表第195个字头第2个字样
396	启	G7-10196.1	简化字总表，第1表第196个字头第1个字样
397	啓	G7-10196.2	简化字总表，第1表第196个字头第2个字样
398	签	G7-10197.1	简化字总表，第1表第197个字头第1个字样
399	籤	G7-10197.2	简化字总表，第1表第197个字头第2个字样
400	千	G7-10198.1	简化字总表，第1表第198个字头第1个字样
401	韆	G7-10198.2	简化字总表，第1表第198个字头第2个字样
402	牵	G7-10199.1	简化字总表，第1表第199个字头第1个字样
403	牽	G7-10199.2	简化字总表，第1表第199个字头第2个字样
404	纤	G7-10200.1	简化字总表，第1表第200个字头第1个字样
405	縴	G7-10200.2	简化字总表，第1表第200个字头第2个字样
406	纖	G7-10200.3	简化字总表，第1表第200个字头第3个字样
407	窍	G7-10201.1	简化字总表，第1表第201个字头第1个字样
408	竅	G7-10201.2	简化字总表，第1表第201个字头第2个字样
409	窃	G7-10202.1	简化字总表，第1表第202个字头第1个字样
410	竊	G7-10202.2	简化字总表，第1表第202个字头第2个字样
411	寝	G7-10203.1	简化字总表，第1表第203个字头第1个字样
412	寢	G7-10203.2	简化字总表，第1表第203个字头第2个字样
413	庆	G7-10204.1	简化字总表，第1表第204个字头第1个字样
414	慶	G7-10204.2	简化字总表，第1表第204个字头第2个字样
415	琼	G7-10205.1	简化字总表，第1表第205个字头第1个字样
416	瓊	G7-10205.2	简化字总表，第1表第205个字头第2个字样
417	秋	G7-10206.1	简化字总表，第1表第206个字头第1个字样
418	鞦	G7-10206.2	简化字总表，第1表第206个字头第2个字样
419	曲	G7-10207.1	简化字总表，第1表第207个字头第1个字样
420	麯	G7-10207.2	简化字总表，第1表第207个字头第2个字样
421	权	G7-10208.1	简化字总表，第1表第208个字头第1个字样
422	權	G7-10208.2	简化字总表，第1表第208个字头第2个字样
423	劝	G7-10209.1	简化字总表，第1表第209个字头第1个字样
