733	锉	4	3667	44	
734	厝	5	5280	9	
735	搭	3	1714	955	
736	哒	4	3305	85	
737	耷	4	3594	50	
738	嗒	4	3812	40	
739	褡	5	6309	1	
740	达	1	357	14999	
741	答	2	1156	2482	
742	靼	5	4900	7	
743	鞑	5	4901	7	
744	炟	5	6129	1	
745	打	1	324	16581	
746	大	1a	9	148500	
747	瘩	4	2990	136	
748	跶	4	4107	23	
749	呆	3	2298	395	
750	呔	4	4012	36	# 按2级字定义，降至4级字。
751	傣	4	3297	78	
752	歹	4	4020	26	
753	代	1	165	31151	
754	带	1	310	17610	
755	待	2	841	4604	
756	袋	3	1450	1485	
757	戴	3	1990	639	
758	贷	3	2287	406	
759	怠	4	2495	301	
760	逮	4	2728	207	
761	岱	4	3234	113	
762	殆	4	3391	68	
763	甙	4	3942	30	
764	黛	4	4106	25	
765	轪	5	4734	9	
766	玳	5	4970	6	
767	迨	5	5310	3	
768	单	1	347	15555	
769	担	2	861	4377	
770	丹	2	1338	1813	# 按3级字定义，升至2级字。
771	耽	4	2789	188	
772	郸	4	3428	63	
773	眈	5	4262	18	
774	儋	5	4678	10	
775	聃	5	5424	3	
776	𬱗	5	5807	1	
777	胆	3	1517	1322	
778	疸	4	3453	61	
779	掸	5	4221	19	
780	撢	5	4929	6	
781	亶	5	5275	3	
782	但	1	209	25928	
783	弹	2	728	5727	
784	蛋	2	1180	2401	
785	淡	3	1411	1604	
786	氮	3	1536	1292	
787	旦	3	1800	843	
788	诞	4	2464	313	
789	惮	5	4396	15	
790	瘅	5	5697	2	
791	澹	5	6013	1	
792	当	1	125	37312	
793	裆	5	4439	14	
794	铛	5	4981	6	
795	党	1	80	47862	
796	挡	3	1515	1326	
797	荡	3	1526	1290	
798	档	3	1751	897	
799	砀	4	3980	28	
800	宕	5	4687	9	
801	菪	5	5063	5	
802	氹	5	5185	4	
803	垱	5	5313	3	
804	刀	1	436	11500	
805	叨	4	2901	157	
806	氘	4	3451	61	
807	𦩍	5	6354	1	# 按4级字定义，降至5级字。
808	导	1	171	29625	
809	倒	2	673	5039	# 按附录三，原多计1400次。
810	岛	2	1169	2446	
811	捣	3	2118	523	
812	蹈	4	2926	152	
813	祷	4	4001	27	
814	到	1a	28	88008	
815	道	1	203	26956	
816	稻	2	646	6761	
817	盗	3	1999	629	
818	悼	4	4223	85	# 按附录三，升至4级字。
819	纛	5	6267	1	
820	得	1	81	47312	
821	德	1	442	11316	# 按附录三，原多计27次。
822	锝	5	5725	3	
823	的	1a	1	830322	.
824	灯	2	1153	2498	
825	登	2	1236	2175	# 按附录三，原多计5次。
826	蹬	4	3111	109	
827	噔	4	3925	31	
828	等	1	107	41818	
829	戥	5	5200	4	
830	邓	3	2077	565	# 按附录三，原少计10次。
831	瞪	4	2592	258	
832	凳	4	2641	240	
833	僜	5	4458	13	
834	镫	5	5264	4	
835	磴	5	5686	2	
836	低	1	385	13189	
837	滴	2	1349	1781	
838	堤	3	1978	651	
839	敌	1	447	11293	
840	迪	3	1929	696	
841	涤	4	2499	299	
842	嘀	4	2808	182	
843	笛	4	2947	147	
844	狄	4	3302	89	
845	镝	4	3680	43	
846	嫡	4	4290	24	# 按附录三，升至4级字。
847	荻	5	5178	4	
848	籴	5	5459	3	
849	觌	5	6154	1	
850	底	1	482	10283	
851	抵	2	1298	1976	
852	诋	4	3854	34	
853	砥	5	4633	10	
854	邸	5	4736	12	
855	氐	5	5295	3	
856	坻	5	5312	20	
857	地	1a	17	105862	# 按附录三，原多计2756次。
858	第	1	116	40499	# 按1a级字定义，降至1级字。
859	帝	2	561	8305	
860	弟	2	1326	1874	
861	递	3	1812	831	
862	蒂	3	2168	481	
863	缔	3	2218	442	
864	碲	4	2918	154	
865	谛	5	4885	7	
866	棣	5	5215	4	
867	娣	5	5329	5	
868	⿰大木	5	5496	2	
